question,answer,fake_answer_1,fake_answer_2,fake_answer_3
"What is the capital of France?","Paris","Berlin","Madrid","Rome"
"What is the largest planet in our solar system?","Jupiter","Earth","Mars","Saturn"
"What is the chemical symbol for gold?","Au","Ag","Pb","Fe"
"What is the longest river in the world?","Nile","Amazon","Yangtze","Mississippi"
"What is the smallest prime number?","2","1","3","4"
"What is the speed of light?","299792458 m/s","300000000 m/s","150000000 m/s","100000000 m/s"
"What is the boiling point of water?","100°C","90°C","80°C","110°C"
"What is the largest mammal?","Blue Whale","Elephant","Giraffe","Hippopotamus"
"What is the most spoken language in the world?","Mandarin Chinese","Spanish","English","Hindi"
"What is the currency of Japan?","Yen","Dollar","Euro","Pound"
"What is the tallest mountain in the world?","Mount Everest","K2","Kilimanjaro","Denali"
"What is the main ingredient in guacamole?","Avocado","Tomato","Onion","Pepper"
"What is the hardest natural substance on Earth?","Diamond","Gold","Iron","Silver"
"What is the largest ocean on Earth?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean"
"What is the most widely used web browser?","Google Chrome","Firefox","Safari","Edge"
"What is the primary ingredient in bread?","Flour","Sugar","Salt","Yeast"
"What is the capital of Italy?","Rome","Venice","Florence","Milan"
"What is the chemical formula for water?","H2O","CO2","O2","NaCl"
"What is the largest desert in the world?","Sahara","Gobi","Kalahari","Arabian"
"What is the main gas found in the air we breathe?","Nitrogen","Oxygen","Carbon Dioxide","Hydrogen"
"What is the capital of Australia?","Canberra","Sydney","Melbourne","Brisbane"
"What is the most populous country in the world?","China","India","USA","Indonesia"
"What is the primary color of the sky on a clear day?","Blue","Green","Red","Yellow"
"What is the main ingredient in sushi?","Rice","Noodles","Bread","Potatoes"
"What is the capital of Canada?","Ottawa","Toronto","Vancouver","Montreal"
"What is the largest continent?","Asia","Africa","North America","South America"
"What is the chemical symbol for silver?","Ag","Au","Pb","Fe"
"What is the main ingredient in chocolate?","Cocoa","Sugar","Milk","Flour"
"What is the capital of Germany?","Berlin","Munich","Frankfurt","Hamburg"
"What is the largest country by land area?","Russia","Canada","China","USA"
"What is the main ingredient in hummus?","Chickpeas","Lentils","Beans","Peas"
"What is the capital of Spain?","Madrid","Barcelona","Valencia","Seville"
"What is the largest organ in the human body?","Skin","Heart","Liver","Lung"
"What is the main ingredient in pesto?","Basil","Parsley","Cilantro","Mint"
"What is the capital of Brazil?","Brasilia","Rio de Janeiro","Sao Paulo","Salvador"
"What is the largest island in the world?","Greenland","New Guinea","Borneo","Madagascar"
"What is the main ingredient in a Caesar salad?","Romaine lettuce","Iceberg lettuce","Spinach","Kale"
"What is the capital of Russia?","Moscow","St. Petersburg","Kazan","Novosibirsk"
"What is the largest volcano in the world?","Mauna Loa","Kilauea","Mount St. Helens","Mount Fuji"
"What is the main ingredient in a margarita?","Tequila","Vodka","Rum","Whiskey"
"What is the capital of Egypt?","Cairo","Alexandria","Giza","Luxor"
"What is the largest city in the USA?","New York City","Los Angeles","Chicago","Houston"
"What is the main ingredient in a smoothie?","Fruit","Vegetables","Yogurt","Ice Cream"
"What is the capital of India?","New Delhi","Mumbai","Bangalore","Chennai"
"What is the largest animal on land?","Elephant","Giraffe","Hippopotamus","Rhino"
"What is the main ingredient in a BLT sandwich?","Bacon","Turkey","Chicken","Ham"
"What is the capital of Mexico?","Mexico City","Guadalajara","Monterrey","Cancun"
"What is the largest lake in the world?","Caspian Sea","Lake Superior","Lake Victoria","Lake Huron"
"What is the main ingredient in a quiche?","Eggs","Flour","Milk","Cheese"
"What is the capital of South Korea?","Seoul","Busan","Incheon","Daegu"
"What is the largest city in Australia?","Sydney","Melbourne","Brisbane","Perth"
"What is the main ingredient in a bagel?","Dough","Bread","Cake","Pastry"
"What is the capital of Argentina?","Buenos Aires","Córdoba","Rosario","Mendoza"
"What is the largest waterfall in the world?","Angel Falls","Niagara Falls","Victoria Falls","Iguazu Falls"
"What is the main ingredient in a curry?","Spices","Meat","Vegetables","Rice"
"What is the capital of Italy?","Rome","Venice","Florence","Milan"
"What is the largest city in Europe?","Moscow","London","Paris","Berlin"
"What is the main ingredient in a taco?","Tortilla","Bread","Rice","Pasta"
"What is the capital of Turkey?","Ankara","Istanbul","Izmir","Antalya"
"What is the largest country in Africa?","Algeria","Nigeria","Sudan","South Africa"
"What is the main ingredient in a pizza?","Dough","Bread","Rice","Pasta"
"What is the capital of Greece?","Athens","Thessaloniki","Patras","Heraklion"
"What is the largest city in Canada?","Toronto","Vancouver","Montreal","Calgary"
"What is the main ingredient in a pancake?","Flour","Sugar","Eggs","Milk"
"What is the capital of Portugal?","Lisbon","Porto","Braga","Coimbra"
"What is the largest country in South America?","Brazil","Argentina","Chile","Colombia"
"What is the capital of Sweden?","Stockholm","Gothenburg","Malmo","Uppsala"
"What is the largest city in Italy?","Rome","Milan","Naples","Turin"
"What is the main ingredient in a burger?","Beef","Chicken","Fish","Pork"
"What is the capital of Norway?","Oslo","Bergen","Stavanger","Trondheim"
"What is the largest country in Asia?","China","India","Russia","Japan"
"What is the main ingredient in a salad?","Lettuce","Tomato","Cucumber","Carrot"
"What is the capital of Finland?","Helsinki","Espoo","Tampere","Oulu"
"What is the largest city in Spain?","Madrid","Barcelona","Valencia","Seville"
"What is the main ingredient in a soup?","Broth","Water","Milk","Cream"
"What is the capital of Denmark?","Copenhagen","Aarhus","Odense","Aalborg"
"What is the largest country in North America?","Canada","USA","Mexico","Cuba"
"What is the main ingredient in a stew?","Meat","Vegetables","Rice","Pasta"
"What is the capital of Belgium?","Brussels","Antwerp","Ghent","Bruges"
"What is the largest city in France?","Paris","Marseille","Lyon","Toulouse"
"What is the main ingredient in a pie?","Fruit","Meat","Vegetables","Cheese"
"What is the capital of Switzerland?","Bern","Zurich","Geneva","Basel"
"What is the largest country in Oceania?","Australia","New Zealand","Papua New Guinea","Fiji"
"What is the main ingredient in a casserole?","Meat","Vegetables","Rice","Pasta"
"What is the capital of Austria?","Vienna","Salzburg","Innsbruck","Graz"
"What is the largest city in Switzerland?","Zurich","Geneva","Bern","Basel"
"What is the main ingredient in a lasagna?","Pasta","Rice","Bread","Potatoes"
"What is the capital of Hungary?","Budapest","Debrecen","Szeged","Miskolc"
"What is the largest country in Europe?","Russia","Germany","France","Ukraine"
"What is the main ingredient in a risotto?","Rice","Pasta","Bread","Potatoes"
"What is the capital of Czech Republic?","Prague","Brno","Ostrava","Plzen"
"What is the largest city in Czech Republic?","Prague","Brno","Ostrava","Plzen"
"What is the main ingredient in a dumpling?","Dough","Rice","Bread","Potatoes"
"What is the capital of Slovakia?","Bratislava","Košice","Nitra","Prešov"
"What is the largest country in the world?","Russia","Canada","China","USA"
"What is the main ingredient in a croissant?","Dough","Bread","Rice","Potatoes"
"What is the capital of Croatia?","Zagreb","Split","Rijeka","Osijek"
"What is the largest city in Croatia?","Zagreb","Split","Rijeka","Osijek"
"What is the main ingredient in a moussaka?","Eggplant","Potatoes","Rice","Bread"
"What is the capital of Serbia?","Belgrade","Novi Sad","Niš","Kragujevac"
"What is the largest city in Serbia?","Belgrade","Novi Sad","Niš","Kragujevac"
"What is the main ingredient in a goulash?","Meat","Vegetables","Rice","Pasta"
"What is the capital of Bulgaria?","Sofia","Plovdiv","Varna","Burgas"
"What is the largest city in Bulgaria?","Sofia","Plovdiv","Varna","Burgas"
"What is the main ingredient in a banitsa?","Filo pastry","Bread","Rice","Potatoes"
"What is the capital of Romania?","Bucharest","Cluj-Napoca","Timișoara","Iași"
"What is the largest city in Romania?","Bucharest","Cluj-Napoca","Timișoara","Iași"
"Who is the author of '1984'?","George Orwell","Aldous Huxley","Ray Bradbury","F. Scott Fitzgerald"
"Who is the author of 'Pride and Prejudice'?","Jane Austen","Charlotte Brontë","Emily Brontë","Mary Shelley"
"Who is the author of 'Harry Potter'?","J.K. Rowling","J.R.R. Tolkien","C.S. Lewis","Philip Pullman"
"Who is the author of 'The Great Gatsby'?","F. Scott Fitzgerald","Ernest Hemingway","Mark Twain","John Steinbeck"
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","Mark Twain","Ernest Hemingway","F. Scott Fitzgerald"
"Who is the author of 'The Catcher in the Rye'?","J.D. Salinger","F. Scott Fitzgerald","Ernest Hemingway","John Steinbeck"
"Who is the author of 'The Hobbit'?","J.R.R. Tolkien","C.S. Lewis","Philip Pullman","George R.R. Martin"
"Who is the author of 'The Chronicles of Narnia'?","C.S. Lewis","J.R.R. Tolkien","Philip Pullman","George R.R. Martin"
"Who is the author of 'Brave New World'?","Aldous Huxley","George Orwell","Ray Bradbury","F. Scott Fitzgerald"
"Who is the author of 'The Picture of Dorian Gray'?","Oscar Wilde","George Orwell","Aldous Huxley","F. Scott Fitzgerald"
"Who is the author of 'Wuthering Heights'?","Emily Brontë","Charlotte Brontë","Jane Austen","Mary Shelley"
"Who is the author of 'Frankenstein'?","Mary Shelley","Emily Brontë","Charlotte Brontë","Jane Austen"
"Who is the author of 'The Odyssey'?","Homer","Virgil","Ovid","Sophocles"



